cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
874866.0,GV_024225,24225,CRVL,USA,CORVEL CORP,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care  Services,6411,524298,All Other Insurance Related Activities,Finance and Insurance,Insurance Carriers and Related Activities,"CorVel Corporation provides workers’ compensation solutions for employers, third party administrators, insurance companies, and government agencies seeking to control costs and promote positive outcomes.",9,0.03577236726772497,0.12143090009891135,-0.017521283303220152,-0.1443027123252513,0.046512593521754186
882095.0,GV_024856,24856,GILD,USA,GILEAD SCIENCES INC,Health Care,"Pharmaceuticals, Biotechnology & Life Sciences",Biotechnology,Biotechnology,2836,325414,Biological Product (except Diagnostic) Manufacturing,Manufacturing,Chemical Manufacturing,"Gilead Sciences, Inc., a research-based biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical needs in the United States, Europe, and internationally.",9,-0.18919785926189275,0.26928684700429073,0.15430014015999857,-0.05082456753258127,0.07141260930482349
883943.0,GV_025108,25108,CBKC,USA,CHRISTOPHER & BANKS CORP,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,5621,448120,Women's Clothing Stores,Retail Trade,Clothing and Clothing Accessories Stores,"Christopher & Banks Corporation, through its subsidiaries, operates as a specialty retailer of private-brand women’s apparel and accessories in the United States.",9,0.3258760259507872,0.10887237788691814,0.3923642348394062,-0.16363876268251515,0.014132591813003647
885639.0,GV_025283,25283,KSS,USA,KOHL'S CORP,Consumer Discretionary,Retailing,Multiline Retail,Department Stores,5311,452210,Department Stores,Retail Trade,General Merchandise Stores,Kohl's Corporation operates as an omni-channel retailer in the United States.,9,0.1620790677541464,0.08319209933099363,0.10863772766665074,-0.04638551790846586,-0.2701268831534601
885725.0,GV_025279,25279,BSX,USA,BOSTON SCIENTIFIC CORP,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Boston Scientific Corporation develops, manufactures, and markets medical devices for use in various interventional medical specialties worldwide.",9,0.0554413851415846,0.029754008079391964,0.3373425986861435,-0.04503136916128909,0.11576147197412996
887225.0,GV_030874,30874,KEP,KOR,KEPCO-KOREA ELEC POWER CORP,Utilities,Utilities,Electric Utilities,Electric Utilities,4911,2211,"Electric Power Generation, Transmission and Distribution",Utilities,Utilities,"Korea Electric Power Corporation, an integrated electric utility company, generates, transmits, and distributes electricity in South Korea and internationally.",9,0.022217628558392665,-0.04492757215115719,0.20654706353437083,0.1390002076601756,-0.09049149953900582
889132.0,GV_104598,104598,PKX,KOR,POSCO,Materials,Materials,Metals & Mining,Steel,3312,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Manufacturing,Primary Metal Manufacturing,POSCO manufactures and sells steel rolled products and plates in South Korea and internationally.,9,-0.11724135226460046,-0.09253285154090758,0.245795199551582,0.12960392004130905,-0.1862658246880231
894405.0,GV_001743,1743,ARCB,USA,ARCBEST CORP,Industrials,Transportation,Road & Rail,Trucking,4213,484122,"General Freight Trucking, Long-Distance, Less Than Truckload",Transportation and Warehousing,Truck Transportation,ArcBest Corporation provides freight transportation services and integrated logistics solutions worldwide.,9,0.2536373153336158,0.029683250544168534,-0.002106986283966131,0.13987795549452384,0.14033001452413266
896400.0,GV_062107,62107,MGAM,USA,MULTIMEDIA GAMES HOLDING CO,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming,3990,339999,All Other Miscellaneous Manufacturing,Manufacturing,Miscellaneous Manufacturing,"Multimedia Games Holding Company, Inc. designs, manufactures, and supplies gaming machines and systems to casino, lottery, and commercial bingo gaming facility operators in the United States and internationally.",9,-0.12024168999830254,0.1732843172706991,0.08798769944245285,0.028796143321313288,0.015604593616423383
896878.0,GV_027928,27928,INTU,USA,INTUIT INC,Information Technology,Software & Services,Software,Application Software,7372,511210,Software Publishers,Information,Publishing Industries (except Internet),"Intuit Inc. provides financial management and compliance products and services for consumers, small businesses, self-employed, and accounting professionals in the United States, Canada, and internationally.",9,-0.1568456354894609,0.3115556383751706,0.1783236927675047,0.0652196231009761,-0.22342197730001429
