cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim
5981,GV_001585,1585,AVD,USA,AMERICAN VANGUARD CORP,Materials,Materials,Chemicals,Fertilizers & Agricultural Chemicals,2870,325320,Pesticide and Other Agricultural Chemical Manufacturing,Manufacturing,Chemical Manufacturing,"American Vanguard Corporation, through its subsidiaries, develops, manufactures, and markets specialty chemicals for agricultural, commercial, and consumer uses in the United States and internationally.",4,0.4073738925090995,0.029297714282639057
6284,GV_001633,1633,ALOG,USA,ANALOGIC CORP,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,"Analogic Corporation designs, manufactures, and sells medical imaging systems, ultrasound and security systems, and subsystems to original equipment manufacturers (OEMs) and end users primarily for the medical and airport security markets worldwide.",4,0.37532101180714184,-0.07098601006200309
6845,GV_001686,1686,APOG,USA,APOGEE ENTERPRISES INC,Industrials,Capital Goods,Building Products,Building Products,3442,332321,Metal Window and Door Manufacturing,Manufacturing,Fabricated Metal Product Manufacturing,"Apogee Enterprises, Inc. designs and develops glass and metal products and services in the United States, Canada, and Brazil.",4,0.3165704602421363,0.3781124702602232
6955,GV_001706,1706,EPAC,USA,ENERPAC TOOL GROUP CORP,Industrials,Capital Goods,Machinery,Industrial Machinery,3533,333132,Oil and Gas Field Machinery and Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Enerpac Tool Group Corp., doing business as Enerpac Tool Group, designs, manufactures, and distributes a range of industrial products and systems worldwide.",4,-0.13022353216046695,0.04333669497782976
9326,GV_001979,1979,BCPC,USA,BALCHEM CORP  -CL B,Materials,Materials,Chemicals,Specialty Chemicals,2834,325412,Pharmaceutical Preparation Manufacturing,Manufacturing,Chemical Manufacturing,"Balchem Corporation develops, manufactures, and markets specialty performance ingredients and products for the food, nutritional, feed, pharmaceutical, medical sterilization, and industrial markets in the United States and internationally.",4,-0.05171024795302727,0.18226633934309336
12355,GV_002255,2255,BDK,USA,BLACK & DECKER CORP,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances,3540,333991,Power-Driven Handtool Manufacturing,Manufacturing,Machinery Manufacturing,"The Black & Decker Corporation designs and manufactures power tools, outdoor yard care equipment, and home products.",4,0.6498507471588916,0.181930473002147
12659,GV_002269,2269,HRB,USA,BLOCK H & R INC,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services,7200,541213,Tax Preparation Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","H&R Block, Inc., through its subsidiaries, provides assisted income tax return preparation, do-it-yourself (DIY) tax, and virtual tax preparation services and products to the general public primarily in the United States, Canada, and Australia.",4,-0.03296467954922327,0.25482234506288676
16058,GV_002596,2596,CACI,USA,CACI INTL INC  -CL A,Information Technology,Software & Services,IT Services,IT Consulting & Other Services,7373,541512,Computer Systems Design Services,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services","CACI International Inc, together with its subsidiaries, provides information solutions and services in North America and internationally.",4,0.542792518732326,0.03030790256546298
16160,GV_064275,64275,CALM,USA,CAL-MAINE FOODS INC,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,200,112310,Chicken Egg Production,"Agriculture, Forestry, Fishing and Hunting",Animal Production and Aquaculture,"Cal-Maine Foods, Inc. produces, grades, packages, markets, and distributes shell eggs.",4,0.40128890734993117,-0.17912677525461546
16918,GV_002710,2710,STZ,USA,CONSTELLATION BRANDS,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners,2082,312120,Breweries,Manufacturing,Beverage and Tobacco Product Manufacturing,"Constellation Brands, Inc., together with its subsidiaries, produces, imports, and markets beer, wine, and spirits in the United States, Canada, Mexico, New Zealand, and Italy.",4,0.44113599948696425,-0.18520866078808812
18498,GV_005109,5109,GCO,USA,GENESCO INC,Consumer Discretionary,Retailing,Specialty Retail,Apparel Retail,5661,448210,Shoe Stores,Retail Trade,Clothing and Clothing Accessories Stores,"Genesco Inc. operates as a retailer and wholesaler of footwear, apparel, and accessories.",4,0.3459413801404398,-0.16204703105668042
18808,GV_002870,2870,CV,USA,CENTRAL VERMONT PUB SERV,Utilities,Utilities,Electric Utilities,Electric Utilities,4911,22111,Electric Power Generation,Utilities,Utilities,"As of June 27, 2012, Central Vermont Public Service Corp. was acquired by Green Mountain Power Corporation.",4,0.5102050600302396,0.1908147453701987
19446,GV_002942,2942,CMD,USA,CANTEL MEDICAL CORP,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,Health Care Equipment,3845,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,Manufacturing,Computer and Electronic Product Manufacturing,Cantel Medical Corp. provides infection prevention and control products and services for the healthcare market.,4,0.1570780253731803,-0.21210586443390264
20171,GV_003024,3024,CB.1,USA,CHUBB CORP,Financials,Insurance,Insurance,Property & Casualty Insurance,6331,524126,Direct Property and Casualty Insurance Carriers,Finance and Insurance,Insurance Carriers and Related Activities,"The Chubb Corporation, through its subsidiaries, provides property and casualty insurance to businesses and individuals.",4,0.5083343664510652,-0.18799370692337322
