cik,GVKEY IQ,gvkey,tic,fic,conm,sector,industry_group,industry,sub_industry,sic,naics,NAICS6,NAICS2,NAICS3,Company Description,cluster,first_dim,second_dim,third_dim,forth_dim,fifth_dim
1733998,GV_007993,7993,NWN,USA,NORTHWEST NATURAL HLDNG CO,Utilities,Utilities,Gas Utilities,Gas Utilities,4924,221210,Natural Gas Distribution,Utilities,Utilities,"Northwest Natural Holding Company, through its subsidiary, Northwest Natural Gas Company, provides regulated natural gas distribution services to residential, commercial, and industrial customers in Oregon and Southwest Washington.",8,-0.3974295065033699,0.4490856808614926,-0.04772678143297696,-0.31807416354758755,-0.19122750225594398
1744489,GV_003980,3980,DIS,USA,DISNEY (WALT) CO,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment,4888,515120,Television Broadcasting,Information,Broadcasting (except Internet),"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide.",8,-0.3974295065033699,0.44908568086149264,-0.04772678143297696,-0.31807416354758755,-0.19122750225594404
1748790,GV_100243,100243,AMCRY,JEY,AMCOR PLC,Materials,Materials,Containers & Packaging,Paper Packaging,2670,326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,Manufacturing,Plastics and Rubber Products Manufacturing,"Amcor plc develops, manufactures, and sells various packaging products for food, beverage, pharmaceutical, medical, home and personal care, and other consumer goods end markets worldwide.",8,-0.39742950650336983,0.44908568086149264,-0.04772678143297696,-0.31807416354758755,-0.19122750225594404
1752836,GV_034765,34765,CVET,USA,COVETRUS INC,Health Care,Health Care Equipment & Services,Health Care Providers & Services,Health Care Distributors,5912,446110,Pharmacies and Drug Stores,Retail Trade,Health and Personal Care Stores,"Covetrus, Inc., together with its subsidiaries, operates as an animal-health technology and services company.",8,-0.39742950650336994,0.44908568086149264,-0.047726781432976956,-0.31807416354758755,-0.19122750225594404
1754301,GV_034636,34636,FOXA,USA,FOX CORP,Communication Services,Media & Entertainment,Media,Broadcasting,4833,515120,Television Broadcasting,Information,Broadcasting (except Internet),"Fox Corporation operates as a news, sports, and entertainment company in the United States.",8,-0.39742950650336994,0.44908568086149264,-0.047726781432976956,-0.31807416354758755,-0.19122750225594404
9984,GV_002049,2049,B,USA,BARNES GROUP INC,Industrials,Capital Goods,Machinery,Industrial Machinery,3490,332613,Spring Manufacturing,Manufacturing,Fabricated Metal Product Manufacturing,"Barnes Group Inc. provides engineered products, industrial technologies, and innovative solutions in the United States and internationally.",1,-0.2657016339143128,0.2775192895998271,0.5221398123797791,0.3821653123165605,-0.3904579902841461
14195,GV_002393,2393,BGG,USA,BRIGGS & STRATTON,Industrials,Capital Goods,Machinery,Industrial Machinery,3510,333618,Other Engine Equipment Manufacturing,Manufacturing,Machinery Manufacturing,"Briggs & Stratton Corporation designs, manufactures, markets, sells, and services gasoline engines for outdoor power equipment to the original equipment manufacturers in the United States.",1,-0.5574626382604602,0.04393893213840596,0.41382879687886764,0.27719323053611816,-0.2280470968703686
16732,GV_002663,2663,CPB,USA,CAMPBELL SOUP CO,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,2030,311422,Specialty Canning,Manufacturing,Food Manufacturing,"Campbell Soup Company, together with its subsidiaries, manufactures and markets food and beverage products.",1,-0.6245970660709754,0.06666123282055189,0.0373984591153647,0.4024147271397041,-0.10302953713080604
17843,GV_002787,2787,CRS,USA,CARPENTER TECHNOLOGY CORP,Materials,Materials,Metals & Mining,Steel,3312,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Manufacturing,Primary Metal Manufacturing,"Carpenter Technology Corporation manufactures, fabricates, and distributes specialty metals worldwide.",1,0.008848366618914515,-0.2624927836741528,0.1665885232569169,0.21749928888687628,-0.2219065987895901
18061,GV_002802,2802,CASC.2,USA,CASCADE CORP,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy Trucks,3537,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",Manufacturing,Machinery Manufacturing,Cascade Corporation engages in the manufacture and distribution of materials handling load engagement devices and related replacement parts under the Cascade name primarily for the lift truck and construction industries worldwide.,1,-0.26559268178554607,0.473555314373356,0.6278653269505491,-0.19399051766518738,0.4423551829565864
18937,GV_002888,2888,CRDN,USA,CERADYNE INC,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,3290,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,Manufacturing,Nonmetallic Mineral Product Manufacturing,"Ceradyne, Inc. develops and manufactures ceramic products and components.",1,0.23160682329594837,-0.03711938028153644,0.4992866433191027,-0.2739685968025319,-0.061238684334533076
21344,GV_003144,3144,KO,USA,COCA-COLA CO,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks,2086,312111,Soft Drink Manufacturing,Manufacturing,Beverage and Tobacco Product Manufacturing,"The Coca-Cola Company, a beverage company, manufactures, markets, and sells various nonalcoholic beverages worldwide.",1,-0.42891639784321245,-0.07429329278155376,0.1382367283369144,-0.2082459032616029,-0.2612034132540653
21665,GV_003170,3170,CL,USA,COLGATE-PALMOLIVE CO,Consumer Staples,Household & Personal Products,Household Products,Household Products,2844,325611,Soap and Other Detergent Manufacturing,Manufacturing,Chemical Manufacturing,"Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products worldwide.",1,0.12174269879225401,-0.14390914521919457,0.6016115860971867,0.13826740310332453,0.37276279157437964
